##;;;;;;;;;;;X
##### Open this document in Excel, version 5 or later.;;;;;;;;;;;X
##### To convert the semicolon-separated list to a normal Excel table, first click on the 'A' above to select the entire 'A' column.;;;;;;;;;;;X
##### Select 'Data' -> 'Text to Columns' -> 'Delimited' -> 'Next';;;;;;;;;;;X
##### Check 'Semicolon' (ONLY!) -> 'Finish';;;;;;;;;;;X
##### Select column 'A' through 'K' (click + drag on letters above columns);;;;;;;;;;;X
##### Right-click anywhere on the sheet (inside the selection) and select 'Column width' and set it so that only THREE columns are visible ('45' with 1024 x 768 screen resolution);;;;;;;;;;;X
##### Right-click anywhere on the sheet again (still inside the selection) and select 'Format Cells' -> 'Alignment' -> check 'Wrap Text' + select 'Vertical: Top' -> 'OK';;;;;;;;;;;X
##### Place the cursor in cell C1 and select 'Window' -> 'Freeze Panes' (allows you to scroll horizontally to see any language in the rightmost coulmn while still having the string names/comments and the english original text in the left and middle column;;;;;;;;;;;X
##### CAREFULLY read the instructions in cells B18 ? B36;;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTES TO TRANSLATORS:;;;;;;;;;;X
##;=====================;;;;;;;;;;X
##;;;;;;;;;;;X
##;1) '%s' is for indicating where another string is inserted, and MAY NEVER BE REMOVED! If there are more than one '%s' in a string, they may NOT CHANGE PLACES.;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;3) '%t' is for indicating where the player's 'title' is inserted, however only in game message boxes.';;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;5) A dollar sign, '$' will always automatically be replaced by the 'ducats' icon.;;;;;;;;;;X
##;6) Any row with a '#' in the first column (column 'A') will be ignored. However, you cannot use any paragraph characters in these rows!!!;;;;;;;;;;X
##;7) To insert a carriage return, insert a '\n' (backslash + n);;;;;;;;;;X
##;8) No formatting can be done in this file. To change the color of a text, insert the following codes in front of the word:;;;;;;;;;;X
##;TEXT COLORS:;;;;;;;;;;X
##;§A = 0,64,0;;;;;;;;;;X
##;§B = 0,0,192;;;;;;;;;;X
##;§C = 128,0,0;;;;;;;;;;X
##;§D = 255,255,0;;;;;;;;;;X
##;§E = 255,0,255;;;;;;;;;;X
##;§F = 255,128,0;;;;;;;;;;X
##;§G = 0,100,0;;;;;;;;;;X
##;§H = 128,128, 128;;;;;;;;;;X
##;§I = 0,0,255;;;;;;;;;;X
##;§J = 0,192,0;;;;;;;;;;X
##;§M = 100,255,100;;;;;;;;;;X
##;§N = 255,100,100;;;;;;;;;;X
##;§R = 240,0,0;;;;;;;;;;X
##;§W = 255,255,255;;;;;;;;;;X
##;§Y = 208,232,248;;;;;;;;;;X
##;§Z = 0,0,0;;;;;;;;;;X
##;§§ - restores old color;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;###############################################################################################################################################################################################################################################################;;;;;;;;;;X
##;10) ALL CELLS in column 'L' in this document MUST contain a character!;;;;;;;;;;X
##;11) The LAST CELL in the 'A' column MUST contain the string '#EOF';;;;;;;;;;X
##;12) If you want to begin a string with a ' (citation mark), you will need to type it twice (Excel will read the first one as a commentary which is not  exported into the actual text database file);;;;;;;;;;X
##;;;;;;;;;;;X
##;WHEN DONE: save as 'Semicolon Separated (.csv)' format, and make sure the file is called 'Text.csv'.;;;;;;;;;;X
##;;;;;;;;;;;X
##;NOTE: If Excel complains about an 'Error in formula' when the cell content begins with a '+' or '-' sign, type a ' (citation mark) in front of the plus or minus.;;;;;;;;;;X
##;;;;;;;;;;;X
##;;;;;;;;;;;X
#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
NAME_SS_INFANTRY;Waffen-SS Infantry;Waffen-SS Infanterie;;;Waffen-SS Infanterie;;;;;;X
9300004desc;As your troops invade France you have the opportunity to gamble on your campaign's outcome and be rewarded if you succeed.\nYou will need to conquer Paris within 40 days in this campaign.\nIf you succeed, you will seize ressources, blueprints and your generals will gain new skills. However, were you to fail, you would then receive the appropriate punishment.\nAre you up to the challenge?;Comme vos troupes envahissent la France, vous avez la possibilité de parier sur le résultat de votre campagne et vous serez récompensé si vous réussissez. \NVous devrez conquérir Paris dans les 40 jours de cette campagne. \NSi vous réussissez, vous pourrez saisir les ressources, les plans et vos généraux vont acquérir de nouvelles compétences. Cependant, si vous échouez, vous recevrez alors la sanction appropriée. \NAllez vous relever le défi?;;;Da Ihre Truppen Frankreich überfallen, haben Sie die Möglichkeit um das Ergebnis Ihres Feldzugs zu spielen. \nWenn Sie es schaffen, Paris innerhalb von 40 Tagen zu erobern, waren Sie erfolgreich. \nSie werden Ressourcen und Blaupausen erbeuten, außerdem werden ihre Generale neue Fähigkeiten hinzugewinnen. Wenn Sie scheitern, werden Sie eine entsprechende Strafe erhalten. \nNehmen Sie die Herausforderung an?;;;;;;X
9300006name;Russian Campaign Goals;Objectifs de la campagne de Russie;;;Ziele des Russlandfeldzugs;;;;;;X
9300006desc;As your troops invade Russia, you have the opportunity to gamble on your campaign's outcome and be rewarded if you succeed.\nYou will need to achieve your objectives within 90 days in this campaign.\nIf you succeed, you will seize ressources, blueprints and your generals will gain new skills. However, were you to fail, you would then receive the appropriate punishment.\nAre you up to the challenge?;Comme vos troupes envahissent la Russie, vous avez la possibilité de parier sur les résultats de votre campagne et vous serez récompensé si vous réussissez. \NVous devrez conquérir Moscou dans les 120 jours de cette campagne. \NSi vous réussissez, vous saisirez des ressources, des plans et votre généraux vont acquérir des compétences nouvelles. Cependant, si vous échouez, vous recevrez alors la sanction appropriée. \NAllez vous relever le défi?;;;Da der Russlandfeldzug begonnen hat, haben Sie die Möglichkeit um das Ergebnis Ihres Feldzugs zu spielen. \nWenn Sie es schaffen, Moskau innerhalb von 120 Tagen zu erobern, waren Sie erfolgreich. \nSie werden Ressourcen und Blaupausen erbeuten, außerdem werden ihre Generale neue Fähigkeiten hinzugewinnen. Wenn Sie scheitern, werden Sie eine entsprechende Strafe erhalten. \nNehmen Sie die Herausforderung an?;;;;;;X
9300003a;The campaign is a success;La Campagne est un succès;;;Unser Feldzug ist ein Erfolg;;;;;;X
9300003b;The campaign is a failure;La Campagne est un échec;;;Unser Feldzug ist ein Fehlschlag;;;;;;X
9300003desc;As your troops invaded Poland, you gambled on your campaign's outcome.\nYou needed to conquer Warsaw within 30 days and lose less than 25,000 men in this campaign.\nHave you fulfilled these goals?;Comme vos troupes ont envahi la Pologne, vous avez joué sur le résultat de votre campagne. \NVous deviez conquérir Varsovie dans les 30 jours et de perdre moins de 25.000 hommes dans cette campagne. \ NAvez vous rempli ces objectifs?;;;Als Sie den Polenfeldzug begonnen haben, haben Sie sich dazu entschlossen auf das Ergebnis des Feldzugs zu wetten. \nSie sollten Warschau innerhalb von 30 Tagen erobern und bei Ihrem Feldzug weniger als 15.000 Mann verlieren. \nHaben Sie diese Ziele erfüllt?;;;;;;X
9300005desc;As your troops invaded France, you gambled on your campaign's outcome. You needed to conquer Paris within 40 days.\nHave you fulfilled this goal?;As your troops invaded France, you gambled on your campaign's outcome. You needed to conquer Paris within 40 days.\nHave you fulfilled this goal?;;;Als Sie den Frankreichfeldzug begonnen haben, haben Sie sich dazu entschlossen auf das Ergebnis des Feldzugs zu wetten. \nSie sollten Warschau innerhalb von 40 Tagen erobern. \nHaben Sie dieses Ziel erfüllt?;;;;;;X
9300007desc;As your troops invaded Russia, you gambled on your campaign's outcome. You needed to conquer Moscow within 120 days.\nHave you fulfilled this goal?;Comme vos troupes ont envahi la Russie, vous avez joué sur le résultat de votre campagne. Vous aviez besoin de conquérir Moscou dans les 120 jours. \NAvez vous rempli cet objectif?;;;Als Sie den Russlandfeldzug begonnen haben, haben Sie sich dazu entschlossen auf das Ergebnis des Feldzugs zu wetten. \nSie sollten Moskau innerhalb von 120 Tagen erobern. \nHaben Sie dieses Ziel erfüllt?;;;;;;X
9300009name;Build the Peenemünde Research Center;Construire le Centre de recherche de Peenemünde;;;Heeresversuchsanstalt Peenemünde;;;;;;X
9300009desc;The Peenemünde Army Research Center was founded in 1937 as one of five military proving grounds under the Army Weapons Office. On April 2, 1936, the Reich Air Ministry paid 750,000 reichsmarks to the town of Wolgast for the whole Northern peninsula of the Baltic island of Usedom. The site had been suggested by Wernher von Braun's mother as 'just the place for you and your friends'. By the middle of 1938, the Army facility had been separated from the Luftwaffe facility and was nearly complete, with personnel moved from Kummersdorf. Several German guided missiles and rockets were developed by the Peenemünde Army Research Center, including the V-2 rocket (A-4), the Wasserfall, Schmetterling, Rheintochter, Taifun, and Enzian missiles.;Le Centre de recherche de Peenemünde armée a été fondée en 1937 comme l'un des cinq centres militaires du bureau des armées. Le 2 Avril 1936, le Reich ministère de l'armée de l'air a versé 750.000 reichsmarks à la ville de Wolgast pour toute la péninsule nord de l'île d'Usedom Baltique. Le site avait été suggéré par la mère de Wernher von Braun en tant que 'l'endroit idéal pour vous et vos amis'. Vers le milieu de 1938, l'installation armée avait été séparé de l'installation de la Luftwaffe et était presque complète, avec le personnel de Kummersdorf. Plusieurs missiles guidés et des roquettes allemandes ont été mis au point par le Centre de recherche de Peenemünde, y compris la fusée V-2 (A-4), le Wasserfall, Schmetterling, Rheintochter, Taifun, et des missiles Enzian.;;;In Peenemünde im Norden der Insel Usedom wurde 1936 die Versuchsstelle des Heeres Peenemünde errichtet, die 1938 durch die Versuchs-, später Erprobungsstelle der Luftwaffe „Peenemünde-West“ ergänzt wurde.Aus Mitteln des Reichsluftfahrtministeriums wurde für 750.000 RM das Gelände erworben, Heer und Luftwaffe wollten sich die Projekt- und Betriebskosten teilen.Auf den Raketenstartplätzen wurde insbesondere die erste funktionsfähige Großrakete Aggregat 4 ( 'V2' ) vom Heer unter Leitung von Walter Dornberger und Wernher von Braun entwickelt und getestet. Es folgten weitere deutsche Lenkflugkörper und Raketen, so zum Beispiel die Wasserfall, Schmetterling, Rheintochter, Taifun und Enzian Raketen. ;;;;;;X
9300012name;Force Dutch Surrender;Groupe néerlandais Abandonnée;;;Erzwingt die Niederländische Kapitulation;;;;;;X
9300012desc;The Battle of the Netherlands was part of Case Yellow, the German invasion of the Low Countries and France. The battle lasted from 10 May 1940 until the main Dutch forces surrendered on the 14th. Dutch troops in the province of Zealand continued to resist the Wehrmacht until 17 May when Germany completed its occupation of the whole nation. The Battle of the Netherlands saw one of the first major uses of paratroopers to occupy crucial targets prior to ground troops reaching the area. The German Luftwaffe utilised paratroopers in the capture of several major airfields in the Netherlands in and around key cities such as Rotterdam and The Hague in order to quickly overrun the nation and immobilise Dutch forces. The battle ended soon after the devastating bombing of Rotterdam by the German Luftwaffe and the subsequent threat by the Germans to bomb other large Dutch cities if Dutch forces refused to surrender. The Dutch General Staff knew it could not stop the bombers and surrendered in order to prevent other cities from suffering the same fate.;La bataille des Pays-Bas faisait partie du cas jaune, l'invasion allemande des Pays-Bas et de la France. La bataille a duré du 10 mai 1940 jusqu'à ce que les principales forces néerlandaises se rendirent, le 14. Les troupes néerlandaises dans la province de Zélande ont continué de résister à la Wehrmacht jusqu'au 17 mai, car l'Allemagne a achevé son occupation de la nation tout entière. La bataille des Pays-Bas a vu l'une des premières utilisations majeures de parachutistes afin d'occuper des objectifs cruciaux avant que les troupes au sol n'atteignent la zone. La Luftwaffe allemande a utilisée les parachutistes dans la capture de plusieurs aérodromes importants aux Pays-Bas et autour des villes clés telles que Rotterdam et La Haye afin de rapidement envahir la nation et d'immobiliser les forces néerlandaises. La bataille s'est terminée peu de temps après le bombardement dévastateur de Rotterdam par la Luftwaffe allemande et la menace subséquente par les Allemands pour bombarder d'autres grandes villes néerlandaises, si les forces néerlandaises ont refusé de se rendre. L'état-major général néerlandais savait qu'il ne pouvait pas arrêter les bombardiers et se sont rendus afin de prévenir d'autres villes de subir le même sort.;;;Der Angriff auf Holland war Teil von Fall Gelb, dem Deutschen Angriff über die Beneluxländer auf Frankreich. Der Kampf dauerte vom 10. - 14. Mai 1940, bis sich der Großteil der Holländischen Truppen ergab. Holländische Truppen in der Provinz Zeeland leisteten noch bis zum 17.Mai Widerstand, zu diesem Zeitpunkt war das komplette Land von den Deutschen besetzt. Im Kampf um die Niederlande kam es zu dem ersten großen Einsatz von Fallschirmjägern, die wichtige Punkte einnahmen, noch bevor die Bodentruppen diese Punkte erreichen konnten. Die Deutsche Luftwaffe benutze Fallschirmjäger um wichtige Flugplätze in und um Schlüsselstädten, wie Rotterdam oder Den Haag, zu besetzen. Dies sollte es ermöglichen das Land schnell niederzuwerfen und die Bewegungsfähigkeith der Holländischen Truppen einzuschränken. Der Kampf um Holland endete kurz nach der verheerenden Bombardierung von Rotterdam durch die Deutsche Luftwaffe und der anschließenden Drohung der Deutschen weitere Großstädte zu bombardieren, falls sich die Holländischen Streitkräfte weigern zu kapitulieren. Der Holländische Generalsstab wusste, dass man gegen die Bomber nichts ausrichten konnte und man zog es vor zu kapitulieren, bevor weitere Städte das selbe Schicksal wie Rotterdam teilen mussten.;;;;;;X
9300010name;1936 Winter Olympics;Jeux olympiques d'hiver 1936;;;Olympische Winterspiele 1936;;;;;;X
9300010desc;The 1936 Winter Olympics, officially known as the IV Olympic Winter Games, were a winter multi-sport event which was celebrated in 1936 in the market town of Garmisch-Partenkirchen in Bavaria, Germany. The 1936 Winter Olympics were organized on behalf of the Sports Office of the Third Reich by Karl Ritter von Halt. Von Halt had been named President of the Committee for the organization of the Fourth Winter Olympics in Garmisch by Reichssportführer Hans von Tschammer und Osten. Germany also hosted the Summer Olympics the same year in Berlin.;En 1936, les Jeux olympiques d'hiver, officiellement connu sous le nom de IV Jeux olympiques d'hiver, cet événement multi-sport d'hiver qui a été célébrée en 1936 dans le bourg de Garmisch-Partenkirchen en Bavière, en Allemagne. En 1936, les Jeux olympiques d'hiver ont été organisés au nom du bureau des Sports du Troisième Reich par Karl Ritter von Halt. Von Halt avait été nommé président du Comité pour l'organisation des quatrième Jeux Olympiques d'hiver à Garmisch par le Reichssportführer Hans von Osten und Tschammer. L'Allemagne a également accueilli les Jeux Olympiques d'été de la même année à Berlin.;;;Die Sommerspiele für 1936 waren schon 1931 nach Deutschland vergeben worden, nachdem Berlin schon für 1916 vorgesehen gewesen war. Mit dieser Vergabe verbunden war auch ein Vorrecht für die Austragung der Winterspiele. Jedoch hatte Deutschland damals noch keinen geeigneten Wintersportort. Erst ab 1933 wurden die Voraussetzungen für eine Austragung geschaffen. Die Winterspiele von 1936 waren der Anlass, die beiden bayerischen Nachbargemeinden Garmisch und Partenkirchen 1935 zur Marktgemeinde Garmisch-Partenkirchen zu vereinen. Ein effizienter Busservice erlaubte es 500.000 Menschen, an den Abschlussveranstaltungen teilzunehmen. 1936 wurden zum ersten Mal alpine Skirennen veranstaltet. Mit 28 teilnehmenden Nationen wurde in Garmisch-Partenkirchen ein neuer Teilnehmerrekord aufgestellt. Die Staaten Australien, Bulgarien, Griechenland, Liechtenstein, Spanien und Türkei feierten ihre Premieren bei Olympischen Winterspielen.;;;;;;X
9300011name;1936 Summer Olympics;Jeux olympiques d'été 1936;;;Olympische Sommerspiele 1936;;;;;;X
9300011desc;The 1936 Summer Olympics, officially known as the Games of the XI Olympiad, was an international multi-sport event that was held in 1936 in Berlin, Germany. Berlin won the bid to host the Games over Barcelona, Spain, on 26 April 1931, at the 29th IOC Session in Barcelona. Hitler saw the Games as an opportunity to promote his government and ideals of racial supremacy, and the official NSDAP paper, the Völkischer Beobachter wrote in the strongest terms that Jews and Blacks should not be allowed to participate in the Games. However, when threatened with a boycott of the Games by other nations, he relented and allowed them to participate, and added one token participant to the German team—a German woman, Helene Mayer, who had a Jewish father. At the same time, the party removed signs stating 'Jews not wanted' and similar slogans from the city's main tourist attractions.;En 1936, les Jeux olympiques d'été, officiellement connu sous le nom des Jeux de la XIe Olympiade, étaient un événement multi-sport d'organisation internationale qui a eu lieu en 1936 à Berlin, en Allemagne. Berlin a remporté le vote pour accueillir les Jeux sur Barcelone, en Espagne, le 26 Avril 1931, à la 29e session du CIO à Barcelone. Hitler voyait les Jeux comme une occasion de promouvoir son gouvernement et les idéaux de la suprématie raciale, et officialiser les choix du parti nazi, le Völkischer Beobachter écrit dans des termes forts pour que les Juifs et les Noirs ne soient pas autorisés à participer aux Jeux. Cependant, quand ils sont menacés par un boycott des Jeux par les autres nations, le parti renonce et ajoute une participante à l'équipe Allemande, Hélène Mayer, qui a eu un père juif. Dans le même temps, le parti fait enlevé signes indiquant 'Juifs non désirés' et des slogans similaires des attractions touristiques de la ville principale.;;;Die Olympischen Sommerspiele 1936 wurden vom 1. bis 16. August 1936 in Berlin ausgetragen. Die meisten Wettkämpfe fanden auf dem Olympiagelände Berlin statt, mit dem Olympiastadion als zentraler Arena. Mit 49 teilnehmenden Nationen und 3961 Athleten stellten die Spiele von Berlin einen neuen Teilnehmerrekord auf. Neben der sportlichen Bedeutung zeichneten sich die Spiele 1936 besonders dadurch aus, dass die regierenden Nationalsozialisten sie erfolgreich als Propagandaforum nutzen, um das NS-Regime im Ausland positiv darzustellen. Zu diesen Spielen fand zum ersten Mal ein Fackellauf statt. Nach der Idee von Carl Diem wurde eine Olympische Fackel in Griechenland entzündet und durch 3400 Fackelläufer zur Eröffnungsveranstaltung nach Berlin getragen. Der Lauf führte durch sieben Länder über eine Distanz von 3075 Kilometern. Die Strecke war von Mitarbeitern des Propagandaministeriums festgelegt und vermessen worden. Hitler sah in den Spielen die Gelegenheit, für seine Regierung und die Idee der Rassisches Überlegenheit zu werben. Zu Beginn sollte Juden und Schwarzen die Teilnahme untersagt werden, doch nachdem einige Länder mit Boykott drohten, erlaubte man ihnen die Teilnahme.;;;;;;X
9300008name;Build the Westwall;Construire la ligne Siegfried;;;Errichtung des Westwalls;;;;;;X
9300008desc;The Westwall (the Allied called it the Siegfried Line) was a defence system stretching more than 630 km (390 mi) with more than 18,000 bunkers, tunnels and tank traps. It went from Kleve on the border with the Netherlands, along the western border of the old German Empire as far as the town of Weil am Rhein on the border to Switzerland. More with National Socialist propaganda in mind than for any strategic reason, Adolf Hitler planned the line from 1936 and had it built between 1938 and 1940. Opposite the French Maginot Line, the Siegfried Line served a corresponding purpose during the Phoney War.;La ligne Siegfried était un système de défense qui s'étendait sur plus de 630 km (390 miles) avec plus de 18.000 bunkers, de tunnels et pièges à chars. elle s'étalait de Clèves à la frontière avec les Pays-Bas, le long de la frontière occidentale de l'ancien Empire allemand à la ville de Weil am Rhein, à la frontière Suisse.En rélité elle servait plus à des fins de propagande nazie que pour une raison stratégique, Adolf Hitler avait souhaité la ligne à partir de 1936 et l'avait fait construire entre 1938 et 1940. En face de la ligne Maginot française, la ligne Siegfried servi au cours de la drôle de guerre.;;;Der Westwall, entlang der Westgrenze des Deutschen Reiches (bei den Alliierten auch unter dem Namen Siegfried-Linie bekannt), war ein über ca. 630 km verteiltes militärisches Verteidigungssystem, das aus über 18.000 Bunkern, Stollen sowie zahllosen Gräben und Panzersperren bestand. Er verlief von Kleve an der niederländischen Grenze in Richtung Süden bis nach Grenzach-Wyhlen an der Schweizer Grenze. Reichskanzler Hitler ließ die Anlage, die eher von propagandistischem als strategischem Wert war, ab 1936 planen und zwischen 1938 und 1940 errichten. Trotz der zu Beginn des Zweiten Weltkrieges erfolgten französischen Kriegserklärung an Deutschland kam es bis zum Beginn des Westfeldzuges zu keinen größeren Kämpfen am Westwall. Stattdessen verharrten beide Gegner im Sitzkrieg, wobei keine Seite die andere angreifen wollte und stattdessen in ihren sicheren Stellungen verharrte.;;;;;;X
9300011a;Germany wins 33 gold medals;L'Allemagne remporte 33 médailles d'or;;;Das Deutsche Reich gewinnt 33 Goldmedaillen;;;;;;X
9300011b;Yet Jesse Owens wins 4 gold medals;Pourtant, Jesse Owens remporte 4 médailles d'or;;;Jesse Owens gewinnt 4 Goldmedaillen;;;;;;X
9300013name;The Peenemünde Army Research Center is ready;le centre de recherche de l'Armée de Peenemünde est prêt;;;Die Heeresversuchsanstalt Peenemünde ist fertig;;;;;;X
9300014name;The Neuschwabenland Expedition;L'expédition Neuschwabenland;;;Die Neuschwabenland Expedition;;;;;;X
9300014desc;Like many other countries, Germany sent expeditions to the Antarctic region in the late 19th and early 20th centuries, most of which were scientific. The first German expedition to Antarctica was the Gauss expedition from 1901 to 1903. It first used a hot-air balloon in Antarctica and also found and named Kaiser Wilhelm II Land. The second German Antarctic expedition (1911–1912) was led by Wilhelm Filchner with a goal of crossing Antarctica to learn if it was one piece of land. As happened with other such early attempts, the crossing failed before it even began. The expedition discovered and named the Luitpold Coast and the Filchner Ice Shelf. A German whaling fleet was put to sea in 1937 and, upon its successful return in early 1938, plans for a third German Antarctic expedition were drawn up. The third German Antarctic Expedition (1938–1939) was led by Alfred Ritscher and aimed at finding an area for a German whaling station, as a way to increase Germany’s production of fat.  Another goal was to scout possible locations for a German naval base. Two more expeditions were scheduled for 1939–1940 and 1940–1941. The second expedition would also investigate the feasibility of naval bases from which Germany could control the South Atlantic and Indian Ocean along with the Drake Passage. Both were cancelled with the outbreak of World War II.;Comme de nombreux autres pays, l'Allemagne a envoyé des expéditions dans la région antarctique dans la fin du 19e et début du 20e siècle, dont la plupart étaient scientifiques. La première expédition allemande en Antarctique a été l'expédition de Gauss de 1901 à 1903. Elle a d'abord utilisé un ballon à air chaud dans l'Antarctique et a également constaté et nommé Kaiser Wilhelm II Terre. La deuxième expédition antarctique allemande (1911-1912) a été dirigé par Wilhelm Filchner avec un objectif de traversée l'Antarctique pour savoir si c'était un morceau de terre. Comme cela s'est produit avec d'autres de ces premières tentatives, la traversée a échoué avant même d'avoir commencé. L'expédition a découvert et nommé la Côte Luitpold et le plateau de glace Filchner. Une flotte baleinière allemande a été mis à la mer en 1937 et, dès son retour réussi au début de 1938, prévoit pour la troisième expédition antarctique. La troisième expédition antarctique allemande (1938-1939) a été dirigée par Alfred Ritscher et visant à trouver un espace pour une station de chasse à la baleine pour l'allemagne, un bon moyen d'augmenter la production de la graisse. Un autre objectif était de faire des repérages possibles pour une base navale allemande.;;;Das Interesse des Deutschen Reiches an der Antarktis war in den 1930er Jahren wie von vielen anderen Staaten vorwiegend wirtschaftlicher Natur. Vor allem die geplante Schließung der „Fettlücke“, d. h. die Absicht die Abhängigkeit des Deutschen Reiches vom Import technischer Fette und Nahrungsfette zu beenden, war der Grund für einen Ausbau der Walfangflotte. Im Frühjahr 1938 wurde Kapitän Alfred Ritscher mit der Leitung einer Expedition in die Antarktis betraut. Innerhalb eines halben Jahres gelang es, eine Expedition zusammenzustellen und auszurüsten, welche die topographischen Kenntnisse für die deutsche Walfangflotte schaffen, gleichzeitig ein wissenschaftliches Programm entlang der Küste unter Berücksichtigung von Biologie, Meteorologie, Ozeanographie und Erdmagnetik durchführen, und das bis dahin unbekannte Hinterland durch Vermessungsflüge erkunden sollte. Es bestand aber auch die Absicht, eine Grundlage für eine spätere deutsche Besitzergreifung dieses Sektors zu schaffen, daher wurden die Vorbereitungen für diese Expedition unter strengster Geheimhaltung getroffen. ;;;;;;X
9300015name;Build Flak Towers;Construire des tourelles anti aériennes;;;Bau von Flak-Türmen;;;;;;X
9300015desc;After the RAF's raid on Berlin in 1940, Adolf Hitler ordered the construction of 3 massive flak towers  in the cities of Berlin, Hamburg, and Vienna to defend them from air attack. Flak towers were 8 complexes of large, above-ground, anti-aircraft gun blockhouse towers. These towers were each supported by a radar installation that had a retractable radar dish (the dish was retracted behind a thick concrete and steel dome in order to prevent damage in an air raid). They also served as air-raid shelters for tens of thousands of people and to coordinate air defence. The flak towers, the design of which Hitler took personal interest in and even made some sketches for, were constructed in a mere 6 months. The priority of the project was such that the German national rail schedule was altered to facilitate the shipment of concrete, steel and lumber to the construction sites.;Après le raid de la RAF sur Berlin en 1940, Adolf Hitler ordonna la construction de 3 tourelles antiériennes dans les villes de Berlin, Hambourg, Vienne pour assurer la défense contre une attaque aérienne. Les Tourelles antiaériennes étaient de grand blokhaus équipé d'armes à feu anti aériens. Ces tourelless sont chacunes soutenu par une installation radar qui avait une antenne radar escamotable (le plat était rentré derrière une épaisseur de béton et un dôme d'acier afin d'éviter des dommages pendant un raid aérien). Ils ont aussi servi comme abris anti-aériens pour des dizaines de milliers de personnes et aussi de coordonner la défense aérienne. Les tourelless pare-balles, Hitler prit intérêt personnel dans leurs conceptions et a même fait quelques croquis, elles ont été construites en seulement 6 mois. La priorité du projet était telle que l'agenda ferroviaire allemand a été modifié pour faciliter le transport du béton, de l'acier et du bois d'œuvre sur les chantiers.;;;Nach dem RAF Angriff auf Berlin im Jahr 1940, befahl Adolf Hitler den Bau von 3 massiven Flaktürmen in den Städten Berlin, Hamburg und Wien, um sie vor Luftangriffen zu schützen. Acht Flakturmpaare wurden im Rahmen des Luftkriegs errichtet, um den Überflug oder Angriff gegnerischer Bomberverbände zu erschweren. Neben der Funktion als Flakstellung befanden sich in ihnen große Schutzräume für bis zu 30.000 Personen. Der größte Nutzen der Türme war ihre robuste Bauart, die der Zivilbevölkerung Schutz vor den Bombenangriffen bot, sowie die sichere Aufbewahrung wertvoller Kunst- und Kulturschätze. Die Türme besaßen jeder ein eigenes Kraftwerk sowie autonome Wasserversorgung durch Tiefbrunnen. Die Türme wurden auch für die Propaganda genutzt. Sie dienten einerseits als Zeichen dafür, wie die deutsche Regierung das Volk vor den Bombenangriffen feindlicher Mächte beschützt, sowie, zumindest bei den ersten Türmen, auch als Symbol für die Schaffung von Arbeitsplätzen.;;;;;;X
9300016name;Enigma Machine;La machine Enigma;;;Enigma;;;;;;X
